N2=100, predictions: [400, 420, 280, 360, 460, 420, 560, 460, 420, 320], average: 410.0, error: 3.1
N2=300, predictions: [760, 700, 540, 660, 640, 740, 660, 700, 680, 580], average: 666.0, error: 1.22
N2=500, predictions: [1020, 1080, 1040, 900, 900, 820, 840, 1080, 800, 640], average: 912.0, error: 0.824
N2=700, predictions: [1000, 980, 1040, 920, 1180, 1420, 920, 1260, 1140, 980], average: 1084.0, error: 0.5485714285714286
N2=900, predictions: [1280, 1820, 1660, 1700, 1280, 1500, 1420, 1200, 1340, 1420], average: 1462.0, error: 0.6244444444444445
N2=1100, predictions: [2900, 2360, 1880, 1640, 1380, 2140, 1860, 2560, 1760, 2280], average: 2076.0, error: 0.8872727272727273
N2=1300, predictions: [1580, 2220, 2980, 2900, 1600, 2240, 2320, 2560, 2980, 1900], average: 2328.0, error: 0.7907692307692308
N2=1500, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.9866666666666667
N2=1700, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.7529411764705882
N2=1800, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.6555555555555556
N2=1900, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.5684210526315789
N2=2000, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.49
N2=2100, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.41904761904761906
N2=2200, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.35454545454545455
N2=2300, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.2956521739130435
N2=2400, predictions: [2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980, 2980], average: 2980.0, error: 0.24166666666666667
